Region,Participant,Station Name,Technology Type - Descriptor,Reg Cap (MW)
NSW1,AGL Hydro Partnership,Agl Kemps Creek,Compression Reciprocating Engine,1.0
NSW1,AGL Hydro Partnership,Broken Hill Solar Plant,Photovoltaic Flat panel,53.76
NSW1,AGL Hydro Partnership,Burrendong Hydro Power Station,Hydro - Gravity,19.0
NSW1,AGL Hydro Partnership,Copeton Hydro Power Station,Hydro - Gravity,22.5
NSW1,AGL Hydro Partnership,Glenbawn Hydro Power Station,Hydro - Gravity,5.5
NSW1,AGL Hydro Partnership,Kincumber Landfill Site,Compression Reciprocating Engine,1.064
NSW1,AGL Hydro Partnership,Nyngan Solar Plant,Photovoltaic Flat panel,102.141
NSW1,AGL Hydro Partnership,Pindari Hydro Power Station,Hydro - Gravity,6.7
NSW1,AGL Hydro Partnership,West Nowra Landfill Gas Power Generation Facility,Compression Reciprocating Engine,1.0
NSW1,AGL Hydro Partnership,Woy Woy Landfill Site,Spark Ignition Reciprocating Engine,1.064
NSW1,AGL Macquarie Pty Limited,Bayswater Power Station,Steam Sub-Critical,2640.0
NSW1,AGL Macquarie Pty Limited,Hunter Valley Gas Turbine,Open Cycle Gas turbines (OCGT),50.0
NSW1,AGL Macquarie Pty Limited,Liddell Power Station,Steam Sub-Critical,2000.0
NSW1,AGL PARF NSW Pty Ltd,Silverton Wind Farm,Wind - Onshore,198.94
NSW1,Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,Wind - Onshore,113.18
NSW1,Bodangora Wind Farm Pty Limited,Bodangora Wind Farm ,Wind - Onshore,113.19
NSW1,Cape Byron Management Pty Ltd,Broadwater Power Station,Steam Sub-Critical,38.0
NSW1,Cape Byron Management Pty Ltd,Condong Power Station,Steam Sub-Critical,30.0
NSW1,Coleambally Solar Pty Ltd,Coleambally Solar Farm,Photovoltaic Tracking Flat panel,180.0
NSW1,Crookwell Development Pty Ltd ,Crookwell 2 Wind Farm,Wind - Onshore,96.04
NSW1,Cullerin Range Wind Farm Pty Ltd,Cullerin Range Wind Farm,Wind - Onshore,30.0
NSW1,Delta Electricity,"Vales Point ""B"" Power Station",Steam Sub-Critical,1320.0
