DUID,Region,Participant,Station Name,Technology Type - Descriptor
BDL01,VIC1,AETV Pty Ltd,Bairnsdale Power Station,Open Cycle Gas turbines (OCGT)
BDL02,VIC1,AETV Pty Ltd,Bairnsdale Power Station,Open Cycle Gas turbines (OCGT)
CHPSTWF1,VIC1,AETV Pty Ltd,Chepstowe Wind Farm,Wind - Onshore
AGLSITA1,NSW1,AGL Hydro Partnership,Agl Kemps Creek,Compression Reciprocating Engine
BAPS,VIC1,AGL Hydro Partnership,Banimboola Power Station,Hydro - Gravity
MCKAY1,VIC1,AGL Hydro Partnership,Bogong / Mackay Power Station,Hydro - Gravity
BROKENH1,NSW1,AGL Hydro Partnership,Broken Hill Solar Plant,Photovoltaic Flat panel
BDONGHYD,NSW1,AGL Hydro Partnership,Burrendong Hydro Power Station,Hydro - Gravity
CLOVER,VIC1,AGL Hydro Partnership,Clover Power Station,Hydro - Gravity
COPTNHYD,NSW1,AGL Hydro Partnership,Copeton Hydro Power Station,Hydro - Gravity
DARTM1,VIC1,AGL Hydro Partnership,Dartmouth Power Station,Hydro - Gravity
EILDON1,VIC1,AGL Hydro Partnership,Eildon Power Station,Hydro - Gravity
EILDON2,VIC1,AGL Hydro Partnership,Eildon Power Station,Hydro - Gravity
GLBWNHYD,NSW1,AGL Hydro Partnership,Glenbawn Hydro Power Station,Hydro - Gravity
ICSM,QLD1,AGL Hydro Partnership,ISIS Central Sugar Mill Co-generation Plant,Steam Sub-Critical
KINCUM1,NSW1,AGL Hydro Partnership,Kincumber Landfill Site,Compression Reciprocating Engine
MACARTH1,VIC1,AGL Hydro Partnership,Macarthur Wind Farm,Wind - Onshore
MORANBAH,QLD1,AGL Hydro Partnership,Moranbah Generation Project,Compression Reciprocating Engine
NYNGAN1,NSW1,AGL Hydro Partnership,Nyngan Solar Plant,Photovoltaic Flat panel
OAKLAND1,VIC1,AGL Hydro Partnership,Oaklands Hill Wind Farm,Wind - Onshore
PINDARI,NSW1,AGL Hydro Partnership,Pindari Hydro Power Station,Hydro - Gravity
RUBICON,VIC1,AGL Hydro Partnership,Rubicon Mountain Streams Station,Hydro - Gravity
AGLSOM,VIC1,AGL Hydro Partnership,Somerton Power Station,Open Cycle Gas turbines (OCGT)
YABULU,QLD1,AGL Hydro Partnership,Townsville Gas Turbine,Combined Cycle Gas Turbine (CCGT)
YABULU2,QLD1,AGL Hydro Partnership,Townsville Gas Turbine,Combined Cycle Gas Turbine (CCGT)
WKIEWA1,VIC1,AGL Hydro Partnership,West Kiewa Power Station,Hydro - Gravity
WKIEWA2,VIC1,AGL Hydro Partnership,West Kiewa Power Station,Hydro - Gravity
AGLNOW1,NSW1,AGL Hydro Partnership,West Nowra Landfill Gas Power Generation Facility,Compression Reciprocating Engine
WOYWOY1,NSW1,AGL Hydro Partnership,Woy Woy Landfill Site,Spark Ignition Reciprocating Engine
YWNGAHYD,VIC1,AGL Hydro Partnership,Yarrawonga Hydro Power Station,Hydro - Gravity
LYA1,VIC1,AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,Steam Sub-Critical
LYA2,VIC1,AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,Steam Sub-Critical
LYA3,VIC1,AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,Steam Sub-Critical
LYA4,VIC1,AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,Steam Sub-Critical
BW01,NSW1,AGL Macquarie Pty Limited,Bayswater Power Station,Steam Sub-Critical
BW02,NSW1,AGL Macquarie Pty Limited,Bayswater Power Station,Steam Sub-Critical
BW03,NSW1,AGL Macquarie Pty Limited,Bayswater Power Station,Steam Sub-Critical
BW04,NSW1,AGL Macquarie Pty Limited,Bayswater Power Station,Steam Sub-Critical
HVGTS,NSW1,AGL Macquarie Pty Limited,Hunter Valley Gas Turbine,Open Cycle Gas turbines (OCGT)
LD01,NSW1,AGL Macquarie Pty Limited,Liddell Power Station,Steam Sub-Critical
LD02,NSW1,AGL Macquarie Pty Limited,Liddell Power Station,Steam Sub-Critical
LD03,NSW1,AGL Macquarie Pty Limited,Liddell Power Station,Steam Sub-Critical
LD04,NSW1,AGL Macquarie Pty Limited,Liddell Power Station,Steam Sub-Critical
STWF1,NSW1,AGL PARF NSW Pty Ltd,Silverton Wind Farm,Wind - Onshore
COOPGWF1,QLD1,AGL PARF QLD Pty Limited,Coopers Gap Wind Farm,Wind - Onshore
BARKIPS1,SA1,AGL SA Generation Pty Limited,Barker Inlet Power Station,Compression Reciprocating Engine
HALLWF1,SA1,AGL SA Generation Pty Limited,Hallett 1 Wind Farm,Wind - Onshore
HALLWF2,SA1,AGL SA Generation Pty Limited,Hallett 2 Wind Farm,Wind - Onshore
NBHWF1,SA1,AGL SA Generation Pty Limited,North Brown Hill Wind Farm,Wind - Onshore
BLUFF1,SA1,AGL SA Generation Pty Limited,The Bluff Wind Farm,Wind - Onshore
TORRA1,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRA2,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRA3,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRA4,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRB1,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRB2,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRB3,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
TORRB4,SA1,AGL SA Generation Pty Limited,Torrens Island Power Station,Steam Sub-Critical
WPWF,SA1,AGL SA Generation Pty Limited,Wattle Point Wind Farm,Wind - Onshore
-,VIC1,Alcoa Portland Aluminium Pty Ltd,Portland,-
BALDHWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,Wind - Onshore
BANN1,VIC1,Alinta Energy Retail Sales Pty Ltd,Bannerton Solar Park,Photovoltaic Tracking Flat panel
LOYYB1,VIC1,Alinta Energy Retail Sales Pty Ltd,Loy Yang B Power Station,Steam Sub-Critical
LOYYB2,VIC1,Alinta Energy Retail Sales Pty Ltd,Loy Yang B Power Station,Steam Sub-Critical
MAROOWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Maroona Wind Farm,Wind - Onshore
TIMWEST,VIC1,Alinta Energy Retail Sales Pty Ltd,Timboon West Wind Farm,Wind - Onshore
YAWWF1,VIC1,Alinta Energy Retail Sales Pty Ltd,Yawong Wind Farm,Wind - Onshore
ARWF1,VIC1,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,Wind - Onshore
DAANDINE,QLD1,Arrow Energy Trading Pty Ltd,Daandine Power Station,Compression Reciprocating Engine
BRAEMAR5,QLD1,Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,Open Cycle Gas turbines (OCGT)
BRAEMAR6,QLD1,Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,Open Cycle Gas turbines (OCGT)
BRAEMAR7,QLD1,Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,Open Cycle Gas turbines (OCGT)
BLNKTAS,TAS1,Basslink Pty Ltd,Basslink HVDC Link,unspecified
BLNKVIC,VIC1,Basslink Pty Ltd,Basslink HVDC Link,unspecified
BOCORWF1,NSW1,Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,Wind - Onshore
BODWF1,NSW1,Bodangora Wind Farm Pty Limited,Bodangora Wind Farm ,Wind - Onshore
BRAEMAR1,QLD1,Braemar Power Project Pty Ltd,Braemar Power Station,Open Cycle Gas turbines (OCGT)
BRAEMAR2,QLD1,Braemar Power Project Pty Ltd,Braemar Power Station,Open Cycle Gas turbines (OCGT)
BRAEMAR3,QLD1,Braemar Power Project Pty Ltd,Braemar Power Station,Open Cycle Gas turbines (OCGT)
RUGBYR1,QLD1,Braemar Power Project Pty Ltd,Rugby Run Solar Farm,Photovoltaic Tracking Flat panel
CSPVPS1,QLD1,Braemar Power Project Pty Ltd ,Collinsville Solar PV Power Station,Photovoltaic Flat Panel
CPP_3,QLD1,Callide Power Trading Pty Limited,Callide C Nett Off,Steam Super Critical
CPP_4,QLD1,Callide Power Trading Pty Limited,Callide C Nett Off,Steam Super Critical
CNUNDAWF,SA1,Canunda Power Pty Ltd,Canunda Wind Farm,Wind - Onshore
