Facility Name,Status,Region,Technology,Generator Capacity (MW),Latitude,Longitude
Angaston,Commissioned,South Australia,Distillate,100,-34.5039482864289,139.024296339333
Appin,Commissioned,New South Wales,Gas (Waste Coal Mine),55,-34.210868,150.792711
Ararat,Commissioned,Victoria,Wind,241.59,-37.263393,143.08211599999998
Bairnsdale,Commissioned,Victoria,Gas (OCGT),92,-37.842230501524796,147.56372527022
Baking Board,Commissioned,Queensland,Solar (Utility),17,-26.721165999999997,150.55417
Bald Hills,Commissioned,Victoria,Wind,59,-38.7581889808652,145.95606244657802
Ballarat Battery,Commissioned,Victoria,Battery (Discharging),30,-37.567452,143.85274099999998
Ballarat Hospital,Commissioned,Victoria,Gas (Reciprocating),1,-37.558774,143.847247
Banimboola,Commissioned,Victoria,Hydro,12,-36.534524,147.45978799999997
Bannerton,Commissioned,Victoria,Solar (Utility),50,-34.67263,142.75036200000002
Barcaldine,Commissioned,Queensland,Gas (CCGT),37,-23.5521705751292,145.31485121010098
Barcaldine,Commissioned,Queensland,Solar (Utility),10,-23.547333,145.318972
Barker Inlet,Commissioned,South Australia,Gas (Reciprocating),211,-34.804,138.524
Barron Gorge,Commissioned,Queensland,Hydro,60,-16.8507701285363,145.64704928388701
Bastyan,Commissioned,Tasmania,Hydro,80,-41.7362309059766,145.531588505673
Bayswater,Commissioned,New South Wales,Black Coal,2640,-32.3935017885229,150.953963043732
Bell Bay Three,Commissioned,Tasmania,Gas (OCGT),163,-41.139323562966396,146.905521847101
Berwick,Commissioned,Victoria,Bioenergy (Biogas),7,-37.940819,145.236257
Beryl,Commissioned,New South Wales,Solar (Utility),98,-32.347501,149.460738
Blayney,Commissioned,New South Wales,Wind,9.9,-33.621944,149.198333
Blowering,Commissioned,New South Wales,Hydro,80,-35.3974021381011,148.247225084376
Boco Rock,Commissioned,New South Wales,Wind,113,-36.574526757506106,149.12486288728599
Bodangora,Commissioned,New South Wales,Wind,113,-32.407128,149.04133000000002
Bogong / Mackay,Commissioned,Victoria,Hydro,106,-36.80547095191611,147.22784471544
Bolivar Waste Water Treatment,Commissioned,South Australia,Bioenergy (Biogas),10,-34.495482,138.387641
Braemar,Commissioned,Queensland,Gas (OCGT),504,-27.111668775911003,150.907647496929
Braemar 2,Commissioned,Queensland,Gas (OCGT),519,-27.1098726737727,150.90765329885
Broadmeadows,Commissioned,Victoria,Bioenergy (Biogas),5,-37.685081,144.96611399999998
Broadwater,Commissioned,New South Wales,Bioenergy (Biogas),38,-29.016483,153.44575600000002
Broken Hill,Commissioned,New South Wales,Distillate,50,-31.9863131909747,141.420620039361
Broken Hill,Commissioned,New South Wales,Solar (Utility),27,-31.988905,141.391547
Brooklyn,Commissioned,Victoria,Bioenergy (Biogas),3,-37.818597,144.82849199999998
Brown Mountain,Commissioned,New South Wales,Hydro,5,-36.594993,149.473997
Browns Plains,Commissioned,Queensland,Bioenergy (Biogas),2,-27.674584000000003,153.068499
Bungala One,Commissioned,South Australia,Solar (Utility),135,-32.423316,137.841798
Bungala Two,Commissioned,South Australia,Solar (Utility),135,-32.406993,137.840933
Burrendong,Commissioned,New South Wales,Hydro,19,-32.664646999999995,149.108016
Burrinjuck,Commissioned,New South Wales,Hydro,27,-35.003532219190895,148.57989053933
Butlers Gorge,Commissioned,Tasmania,Hydro,15,-42.2671066306884,146.262126696147
Callide B,Commissioned,Queensland,Black Coal,700,-24.3331687723181,150.626321580678
Callide C,Commissioned,Queensland,Black Coal,840,-24.347222,150.608611
Canunda,Commissioned,South Australia,Wind,46,-37.6983027777778,140.383633333333
Capital,Commissioned,New South Wales,Wind,140,-35.123534200872996,149.500248815014
Capital East,Commissioned,New South Wales,Solar (Utility),1,-35.180684,149.546482
Catagunya / Liapootah / Wayatinah,Commissioned,Tasmania,"Distillate,Hydro",197,-42.3761311830926,146.509824066027
Cathedral Rocks,Commissioned,South Australia,Wind,66,-34.8487411412149,135.592648854827
Cethana,Commissioned,Tasmania,Hydro,85,-41.4798517889387,146.13447195282302
Challicum Hills,Commissioned,Victoria,Wind,52,-37.395465970035204,143.104590414104
Chepstowe,Commissioned,Victoria,Wind,6,-37.596503000000006,143.499582
Childers,Commissioned,Queensland,Solar (Utility),64,-25.295026999999997,152.403674
Clare,Commissioned,Queensland,Solar (Utility),110,-19.83977,147.21055
Clayton,Commissioned,Victoria,Bioenergy (Biogas),11,-37.950618,145.119681
Clements Gap,Commissioned,South Australia,Wind,57,-33.4897731866514,138.11169493851003
Clermont,Commissioned,Queensland,Solar (Utility),92,-22.8394058,147.5460307
Clover,Commissioned,Victoria,Hydro,29,-36.785150242910596,147.21951686434602
Cluny,Commissioned,Tasmania,Hydro,19,-42.5062285725933,146.68112292844998
Codrington,Commissioned,Victoria,Wind,18,-38.2828746908265,141.95496017677
Coleambally,Commissioned,New South Wales,Solar (Utility),180,-34.759494000000004,145.92983999999998
Collinsville,Commissioned,Queensland,Solar (Utility),42,-20.55714,147.820552
Colongra,Commissioned,New South Wales,Gas (OCGT),724,-33.2087809607995,151.543540042872
Condamine  A,Commissioned,Queensland,Gas (CCGT),143,-26.6666729324806,150.268581153696
