Participant,Station Name,Region,DUID,Bid Type,Max Cap (MW),Min Enablement Level,Max Enablement Level,Max Lower Angle,Max Upper Angle
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Lower60sec,73.0,0.0,300.0,45.0,90.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Lower6sec,17.0,0.0,300.0,45.0,90.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Lowerreg,300.0,0.0,300.0,45.0,90.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raise5min,0.0,0.0,0.0,0.0,0.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raise60sec,79.0,0.0,300.0,90.0,45.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raise6sec,11.0,0.0,300.0,90.0,45.0
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,MCKAY1,Raisereg,300.0,0.0,300.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Lower60sec,90.0,0.0,180.0,45.0,90.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Lower6sec,20.0,0.0,180.0,45.0,90.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Lowerreg,176.0,0.0,180.0,45.0,90.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raise5min,176.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raise60sec,90.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raise6sec,20.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Dartmouth Power Station,VIC1,DARTM1,Raisereg,176.0,0.0,180.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Lower60sec,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Lower6sec,12.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Lowerreg,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raise5min,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raise60sec,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raise6sec,10.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON1,Raisereg,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Lower60sec,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Lower6sec,12.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Lowerreg,60.0,0.0,65.0,45.0,90.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raise5min,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raise60sec,60.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raise6sec,10.0,0.0,65.0,90.0,45.0
AGL Hydro Partnership,Eildon Power Station,VIC1,EILDON2,Raisereg,60.0,0.0,65.0,90.0,45.0
